Replic Subject SPL Technique errors
1 A Bestlap EIs 0
1 A MobileMedia No-EIs 0
1 B Bestlap No-EIs 1
1 B MobileMedia EIs 1
2 C Bestlap No-EIs 0
2 C MobileMedia EIs 0
2 D Bestlap EIs 0
2 D MobileMedia No-EIs 0
3 E Bestlap No-EIs 8
3 E MobileMedia EIs 0
3 F Bestlap EIs 2
3 F MobileMedia No-EIs 3
4 G Bestlap EIs 1
4 G MobileMedia No-EIs 0
4 H Bestlap No-EIs 0
4 H MobileMedia EIs 0
5 I Bestlap EIs 0
5 I MobileMedia No-EIs 1
5 J Bestlap No-EIs 2
5 J MobileMedia EIs 0
6 K Bestlap EIs 0
6 K MobileMedia No-EIs 0
6 L Bestlap No-EIs 4
6 L MobileMedia EIs 0
7 M Bestlap EIs 0
7 M MobileMedia No-EIs 1
7 N Bestlap No-EIs 2
7 N MobileMedia EIs 1
